instant_book,satisfaction_guest,rating_checkin,bed_type,person_capacity,accuracy_rating,is_superhost,room_type,hosting_id,rating_location,url,amenities,rating_communication,cancel_policy,rating_cleanliness,nightly_price,host_id,response_rate,price,response_time,rev_count
True,97.0,10.0,Real Bed,1,10.0,False,Private room,15377931,10.0,https://www.airbnb.com.br/rooms/15377931,"[1, 3, 4, 6, 8, 9, 21, 33, 49, 50]",10.0,4,10.0,R$35,98212625,1.0,11.326787528883306,1603.0,7
False,80.0,10.0,Real Bed,3,9.0,False,Entire home/apt,1011900,9.0,https://www.airbnb.com.br/rooms/1011900,"[1, 2, 3, 4, 5, 7, 8, 14, 15, 21, 28, 35, 36, 40, 41, 43, 44, 45, 46, 47, 49, 50]",10.0,5,9.0,R$180,639428,0.8000000119209291,58.25205014854273,4328.0,10
True,,,Real Bed,1,,False,Private room,9115285,,https://www.airbnb.com.br/rooms/9115285,"[1, 3, 4, 6, 8, 11, 12, 28, 33, 40, 43, 44, 46]",,4,,R$75,2786378,,24.271687561892804,,0
True,80.0,10.0,Real Bed,3,10.0,False,Private room,16108791,8.0,https://www.airbnb.com.br/rooms/16108791,"[1, 4, 7, 8, 9, 12, 17, 31, 40, 44, 47, 50]",10.0,3,10.0,R$105,104760535,0.5,33.980362586649925,43746.5,1
True,,,Real Bed,2,,False,Private room,13571869,,https://www.airbnb.com.br/rooms/13571869,"[1, 2, 4, 8, 9, 16, 31, 33, 40, 41, 44, 45, 46, 47]",,3,,R$70,78268531,,22.653575057766613,,0
False,,,Real Bed,2,,False,Private room,13723213,,https://www.airbnb.com.br/rooms/13723213,"[8, 9, 11, 28, 31, 33, 42, 44, 47, 50]",,3,,R$124,43514119,,40.0,,0
True,93.0,10.0,Real Bed,8,10.0,False,Entire home/apt,3031723,8.0,https://www.airbnb.com.br/rooms/3031723,"[1, 8, 9, 28]",9.0,5,10.0,R$700,15441840,,226.53575057766616,,2
False,100.0,10.0,Real Bed,1,10.0,False,Private room,14330703,10.0,https://www.airbnb.com.br/rooms/14330703,"[1, 4, 8, 9, 16, 21, 33, 34, 40, 46, 49, 50]",10.0,3,10.0,R$100,17929148,1.0,32.36225008252374,4412.5,1
False,,,Real Bed,2,,False,Private room,17075662,,https://www.airbnb.com.br/rooms/17075662,"[11, 31, 32, 35, 38, 39]",,3,,R$100,114557509,1.0,32.36225008252374,2951.5,0
False,100.0,10.0,Real Bed,1,8.0,False,Private room,14132079,10.0,https://www.airbnb.com.br/rooms/14132079,"[21, 49, 50]",10.0,3,10.0,R$183,85093135,,59.22291765101844,,1
